seed,density,gridSize,numberOfRightAngleTurns,visitSize,visitExcess,duration,pathSize,maxMemory,algorithm,message
None,22,50,50,261,203,0.0025192080065608025,57,46944,da2,
None,22,50,50,1613,1556,0.01844016695395112,57,207568,a2,
None,22,50,51,1971,1916,0.21829899994190782,55,123304,lee,
None,22,50,25,240,138,0.0012587090022861958,102,10688,literbs,MERGEINTRAIL R:99
None,22,50,61,736,627,0.006966374930925667,109,33960,literbs-pythag,MERGEPOINT R:631
None,22,50,25,240,139,0.0015377080999314785,101,10680,literbs-pruned,MERGEDIRECT R:99
None,22,50,43,511,398,0.006585708004422486,113,20952,literbs-pruned-spacing,MERGEINTRAIL R:292
None,22,50,51,306,248,0.0009235839825123549,58,9312,literbs-8,MERGEPOINT R:57
None,22,50,52,306,249,0.0009984170319512486,57,9296,literbs-8-pruned,MERGEDIRECT R:57
None,22,50,53,488,409,0.005604916950687766,79,15984,literbs-8-pruned-spacing,MERGEINTRAIL R:142
None,22,50,51,288,230,0.0010342920431867242,58,9104,literbs-8-pythag,MERGEPOINT R:56
None,22,50,51,288,230,0.0011038749944418669,58,9104,literbs-8-pythag-pruned,MERGEINTRAIL R:56
None,22,50,51,298,244,0.008106290944851935,54,30720,jps,
None,22,50,52,1971,1916,0.057889832998625934,55,189792,bf,
None,22,50,52,1971,1916,0.016494040959514678,55,272888,spfa,
None,22,50,50,222,162,0.002286417060531676,59,32344,da2,
None,22,50,50,1370,1311,0.013875250006094575,59,205640,a2,
None,22,50,50,1970,1917,0.21673108299728483,53,123800,lee,
None,22,50,48,521,407,0.0038480000803247094,114,20408,literbs,MERGEINTRAIL R:360
None,22,50,69,244,133,0.0014175830874592066,111,10992,literbs-pythag,MERGEPOINT R:109
None,22,50,51,521,408,0.004417625023052096,113,20400,literbs-pruned,MERGEINTRAIL R:360
None,22,50,47,686,585,0.008434999966993928,101,32912,literbs-pruned-spacing,MERGEINTRAIL R:405
None,22,50,50,296,239,0.0008664579363539815,57,9248,literbs-8,MERGEPOINT R:55
None,22,50,51,296,240,0.0009206249378621578,56,9232,literbs-8-pruned,MERGEINTRAIL R:55
None,22,50,63,540,459,0.0054079589899629354,81,16648,literbs-8-pruned-spacing,MERGEDIRECT R:163
None,22,50,51,291,234,0.001008082996122539,57,9032,literbs-8-pythag,MERGEPOINT R:55
None,22,50,52,291,235,0.0010919170454144478,56,9016,literbs-8-pythag-pruned,MERGEINTRAIL R:55
None,22,50,50,253,201,0.005691250087693334,52,30120,jps,
None,22,50,50,1970,1917,0.06741608399897814,53,189512,bf,
None,22,50,49,1970,1917,0.016356042004190385,53,272216,spfa,
None,22,50,52,239,184,0.002381709055043757,54,42416,da2,
None,22,50,50,1468,1416,0.01535708294250071,52,207120,a2,
None,22,50,50,1972,1920,0.21864358405582607,52,123304,lee,
None,22,50,46,497,385,0.0033911250066012144,112,19968,literbs,MERGEINTRAIL R:330
None,22,50,67,703,584,0.005255416035652161,119,32888,literbs-pythag,MERGEPOINT R:474
None,22,50,41,497,392,0.004079792066477239,105,19816,literbs-pruned,MERGEINTRAIL R:330
None,22,50,49,370,265,0.004200958996079862,105,17984,literbs-pruned-spacing,MERGEDIRECT R:192
None,22,50,50,273,221,0.0008065409492701292,52,8712,literbs-8,MERGEPOINT R:51
None,22,50,50,273,221,0.0008699999889358878,52,8712,literbs-8-pruned,MERGEDIRECT R:51
None,22,50,47,710,640,0.007123957970179617,70,24376,literbs-8-pruned-spacing,MERGEDIRECT R:243
None,22,50,50,276,224,0.0009399170521646738,52,8736,literbs-8-pythag,MERGEPOINT R:51
None,22,50,50,276,224,0.0010072080185636878,52,8736,literbs-8-pythag-pruned,MERGEDIRECT R:51
None,22,50,50,215,163,0.003868750063702464,52,29536,jps,
None,22,50,50,1972,1920,0.06792533304542303,52,189360,bf,
None,22,50,50,1972,1920,0.016711166012100875,52,274080,spfa,
None,22,50,52,231,171,0.0025957919424399734,59,32432,da2,
None,22,50,50,1403,1345,0.01499320799484849,58,206704,a2,
None,22,50,50,1961,1905,0.21652687503956258,56,123304,lee,
None,22,50,31,735,633,0.005223207990638912,102,33864,literbs,MERGEINTRAIL R:489
None,22,50,50,307,192,0.0020742079941555858,115,14712,literbs-pythag,MERGEPOINT R:176
None,22,50,37,735,634,0.006032041972503066,101,33856,literbs-pruned,MERGEINTRAIL R:489
None,22,50,46,335,232,0.004229999962262809,103,14976,literbs-pruned-spacing,MERGEINTRAIL R:197
None,22,50,53,289,229,0.0009423750452697277,60,9096,literbs-8,MERGEPOINT R:61
None,22,50,53,289,229,0.0010060420027002692,60,9096,literbs-8-pruned,MERGEINTRAIL R:61
None,22,50,54,701,629,0.008215792011469603,72,24048,literbs-8-pruned-spacing,MERGEINTRAIL R:333
None,22,50,52,284,225,0.0010463329963386059,59,9008,literbs-8-pythag,MERGEPOINT R:60
None,22,50,52,284,225,0.0011540829436853528,59,9008,literbs-8-pythag-pruned,MERGEDIRECT R:60
None,22,50,51,446,390,0.013638708041980863,56,59504,jps,
None,22,50,51,1964,1908,25.985987958032638,56,189144,bf,
None,22,50,51,1964,1908,0.016326250042766333,56,271600,spfa,
None,22,50,51,275,214,0.0027967499336227775,60,47816,da2,
None,22,50,51,1608,1550,0.018012208049185574,58,206304,a2,
None,22,50,53,1972,1917,0.21685362502466887,55,123304,lee,
None,22,50,34,424,318,0.0022994159953668714,106,19080,literbs,MERGEINTRAIL R:204
None,22,50,61,250,141,0.0014159170677885413,109,11080,literbs-pythag,MERGEPOINT R:107
None,22,50,35,424,319,0.0027831660117954016,105,19072,literbs-pruned,MERGEINTRAIL R:204
None,22,50,39,247,146,0.002755165915004909,101,10896,literbs-pruned-spacing,MERGEDIRECT R:99
None,22,50,55,329,262,0.0009869580389931798,67,9936,literbs-8,MERGEPOINT R:65
None,22,50,56,329,269,0.001046875026077032,60,9832,literbs-8-pruned,MERGEINTRAIL R:65
None,22,50,45,309,231,0.003408542019315064,78,11960,literbs-8-pruned-spacing,MERGEDIRECT R:87
None,22,50,53,292,237,0.0009807080496102571,55,9056,literbs-8-pythag,MERGEPOINT R:54
None,22,50,53,292,237,0.0010704159503802657,55,9056,literbs-8-pythag-pruned,MERGEDIRECT R:54
None,22,50,53,346,291,0.009436125052161515,55,60104,jps,
None,22,50,53,1972,1917,0.03839162504300475,55,189792,bf,
None,22,50,52,1972,1917,0.016205125022679567,55,271544,spfa,
None,22,50,50,228,165,0.0023360830964520574,62,33080,da2,
None,22,50,49,1711,1650,0.018956457963213325,61,205528,a2,
None,22,50,50,1967,1912,0.2161787919467315,55,123832,lee,
None,22,50,41,636,532,0.004358041100203991,104,31904,literbs,MERGEINTRAIL R:420
None,22,50,52,236,129,0.0013397919246926904,107,10816,literbs-pythag,MERGEPOINT R:105
None,22,50,40,636,535,0.005047582904808223,101,31864,literbs-pruned,MERGEINTRAIL R:420
None,22,50,42,244,141,0.002683000057004392,103,10896,literbs-pruned-spacing,MERGEDIRECT R:101
None,22,50,51,282,224,0.0008648330112919211,58,8944,literbs-8,MERGEPOINT R:56
None,22,50,50,282,225,0.0009354170178994536,57,8928,literbs-8-pruned,MERGEDIRECT R:56
None,22,50,53,462,387,0.004947583074681461,75,14584,literbs-8-pruned-spacing,MERGEINTRAIL R:149
None,22,50,50,288,229,0.0010115420445799828,59,9024,literbs-8-pythag,MERGEPOINT R:57
None,22,50,49,288,230,0.0011066249571740627,58,9008,literbs-8-pythag-pruned,MERGEDIRECT R:57
None,22,50,50,363,311,0.011347457999363542,52,58400,jps,
None,22,50,49,1969,1914,25.92568712506909,55,189424,bf,
None,22,50,50,1969,1914,0.01655187492724508,55,271768,spfa,
None,22,50,50,269,209,0.0029185409657657146,59,47640,da2,
None,22,50,49,1775,1716,0.01979399996344,59,208464,a2,
None,22,50,48,1968,1912,0.2151984159136191,56,123304,lee,
None,22,50,56,671,527,0.004748584004119039,144,32960,literbs,MERGEINTRAIL R:455
None,22,50,51,276,171,0.0016886249650269747,105,11184,literbs-pythag,MERGEPOINT R:139
None,22,50,51,671,538,0.005582250072620809,133,32808,literbs-pruned,MERGEINTRAIL R:455
None,22,50,53,662,539,0.008875500061549246,123,32600,literbs-pruned-spacing,MERGEDIRECT R:472
None,22,50,53,337,278,0.0010459580225870013,59,9824,literbs-8,MERGEPOINT R:73
None,22,50,52,337,278,0.001126459101215005,59,9824,literbs-8-pruned,MERGEINTRAIL R:73
None,22,50,54,755,679,0.010595208033919334,76,33912,literbs-8-pruned-spacing,MERGEINTRAIL R:520
None,22,50,53,296,234,0.001052584033459425,62,9240,literbs-8-pythag,MERGEPOINT R:61
None,22,50,53,296,235,0.0011399579234421253,61,9224,literbs-8-pythag-pruned,MERGEDIRECT R:61
None,22,50,49,404,353,0.009840624989010394,51,58736,jps,
None,22,50,50,1968,1912,0.05826612503733486,56,189904,bf,
None,22,50,52,1968,1912,0.016217708005569875,56,270872,spfa,
None,22,50,50,258,196,0.0025930829579010606,61,47488,da2,
None,22,50,49,1562,1501,0.01633958297315985,61,207512,a2,
None,22,50,52,1974,1919,0.2205931660719216,55,123832,lee,
None,22,50,38,751,641,0.004871958051808178,110,34192,literbs,MERGEINTRAIL R:449
None,22,50,49,396,283,0.002745041041634977,113,18584,literbs-pythag,MERGEPOINT R:241
None,22,50,35,751,642,0.005729665979743004,109,34168,literbs-pruned,MERGEINTRAIL R:449
None,22,50,41,765,662,0.009455249994061887,103,34576,literbs-pruned-spacing,MERGEINTRAIL R:459
None,22,50,50,297,234,0.0009231669828295708,63,9256,literbs-8,MERGEPOINT R:61
None,22,50,49,297,235,0.0009790839394554496,62,9248,literbs-8-pruned,MERGEDIRECT R:61
None,22,50,57,314,245,0.0032499999506399035,69,9800,literbs-8-pruned-spacing,MERGEDIRECT R:75
None,22,50,57,297,232,0.0010773749090731144,65,9416,literbs-8-pythag,MERGEPOINT R:63
None,22,50,54,297,240,0.001181375002488494,57,9280,literbs-8-pythag-pruned,MERGEINTRAIL R:63
None,22,50,51,312,258,0.007404000032693148,54,31712,jps,
None,22,50,50,1974,1919,0.05822150001768023,55,190072,bf,
None,22,50,50,1974,1919,0.01630349992774427,55,271152,spfa,
None,22,50,46,228,164,0.002384957973845303,63,33184,da2,
None,22,50,46,1519,1458,0.01591791689861566,61,205864,a2,
None,22,50,51,1971,1916,0.2171524999430403,55,123304,lee,
None,22,50,37,579,475,0.0033636660082265735,104,21944,literbs,MERGEINTRAIL R:316
None,22,50,49,393,290,0.0024441250134259462,103,18120,literbs-pythag,MERGEPOINT R:214
