seed,density,gridSize,numberOfRightAngleTurns,visitSize,visitExcess,duration,pathSize,maxMemory,algorithm,message
None,13,50,50,272,214,0.0024914999958127737,57,42872,da2,
None,13,50,50,1952,1896,0.02197574998717755,56,191368,a2,
None,13,50,49,2190,2136,0.2985582910478115,54,123832,lee,
None,13,50,25,244,144,0.0011660829186439514,100,10784,literbs,MERGEINTRAIL R:97
None,13,50,61,254,151,0.0013547079870477319,103,11072,literbs-pythag,MERGEPOINT R:101
None,13,50,25,244,145,0.0014700840692967176,99,10776,literbs-pruned,MERGEDIRECT R:97
None,13,50,31,319,218,0.0036055409582331777,101,12176,literbs-pruned-spacing,MERGEDIRECT R:128
None,13,50,50,312,257,0.0008476249640807509,55,9512,literbs-8,MERGEPOINT R:53
None,13,50,50,312,258,0.0009098330046981573,54,9496,literbs-8-pruned,MERGEINTRAIL R:53
None,13,50,45,569,502,0.006444834056310356,67,17120,literbs-8-pruned-spacing,MERGEINTRAIL R:137
None,13,50,50,312,256,0.0010128329740837216,56,9536,literbs-8-pythag,MERGEPOINT R:54
None,13,50,50,312,257,0.0010955410543829203,55,9520,literbs-8-pythag-pruned,MERGEDIRECT R:54
None,13,50,49,302,249,0.008822125033475459,53,32680,jps,
None,13,50,51,2190,2136,0.04464250011369586,54,220312,bf,
None,13,50,50,2190,2136,0.018815041054040194,54,314496,spfa,
None,13,50,50,248,192,0.002293167053721845,55,42592,da2,
None,13,50,49,1784,1729,0.018755416967906058,55,192984,a2,
None,13,50,50,2186,2133,0.2968067080946639,53,123832,lee,
None,13,50,39,245,143,0.0011585419997572899,102,10792,literbs,MERGEINTRAIL R:99
None,13,50,69,264,163,0.0013556249905377626,101,11248,literbs-pythag,MERGEPOINT R:99
None,13,50,39,245,144,0.0015059160068631172,101,10784,literbs-pruned,MERGEDIRECT R:99
None,13,50,37,271,170,0.0031220830278471112,101,11328,literbs-pruned-spacing,MERGEDIRECT R:99
None,13,50,48,318,263,0.0008849169826135039,55,9616,literbs-8,MERGEPOINT R:54
None,13,50,48,318,263,0.0009673750028014183,55,9616,literbs-8-pruned,MERGEDIRECT R:54
None,13,50,55,365,301,0.0042305829701945186,64,10784,literbs-8-pruned-spacing,MERGEINTRAIL R:69
None,13,50,50,300,246,0.00098558294121176,54,9400,literbs-8-pythag,MERGEPOINT R:52
None,13,50,50,300,246,0.001064416952431202,54,9400,literbs-8-pythag-pruned,MERGEINTRAIL R:52
None,13,50,51,307,254,0.00945141608826816,53,33360,jps,
None,13,50,50,2186,2133,0.053662875085137784,53,218520,bf,
None,13,50,50,2186,2133,0.01851316704414785,53,316624,spfa,
None,13,50,50,273,219,0.00243070803117007,53,42952,da2,
None,13,50,50,1843,1790,0.020053209038451314,53,191232,a2,
None,13,50,50,2191,2139,0.29802183294668794,52,123832,lee,
None,13,50,29,246,144,0.001244375016540289,102,10880,literbs,MERGEINTRAIL R:109
None,13,50,51,288,185,0.0017042079707607627,103,11304,literbs-pythag,MERGEPOINT R:144
None,13,50,26,246,147,0.0015410420019179583,99,10856,literbs-pruned,MERGEDIRECT R:109
None,13,50,30,300,193,0.0034860000014305115,107,11928,literbs-pruned-spacing,MERGEDIRECT R:117
None,13,50,50,313,261,0.0008232500404119492,52,9616,literbs-8,MERGEPOINT R:51
None,13,50,50,313,261,0.0008738749893382192,52,9616,literbs-8-pruned,MERGEDIRECT R:51
None,13,50,49,367,303,0.00418779207393527,64,10640,literbs-8-pruned-spacing,MERGEDIRECT R:67
None,13,50,50,313,261,0.0009629590203985572,52,9616,literbs-8-pythag,MERGEPOINT R:51
None,13,50,50,313,261,0.0010486249811947346,52,9616,literbs-8-pythag-pruned,MERGEDIRECT R:51
None,13,50,50,233,181,0.004630999988876283,52,29616,jps,
None,13,50,50,2191,2139,0.05604716599918902,52,218480,bf,
None,13,50,50,2191,2139,0.018694124999456108,52,315968,spfa,
None,13,50,51,272,214,0.0024287080159410834,57,42256,da2,
None,13,50,49,1950,1894,0.021699166973121464,56,192656,a2,
None,13,50,52,2182,2128,0.29443795792758465,54,123832,lee,
None,13,50,28,259,157,0.0013158340007066727,102,11096,literbs,MERGEINTRAIL R:114
None,13,50,59,302,199,0.0016332910163328052,103,11824,literbs-pythag,MERGEPOINT R:133
None,13,50,29,259,158,0.0016012919368222356,101,11088,literbs-pruned,MERGEINTRAIL R:114
None,13,50,41,277,172,0.003192082978785038,105,11640,literbs-pruned-spacing,MERGEDIRECT R:103
None,13,50,51,301,246,0.000832791905850172,55,9200,literbs-8,MERGEPOINT R:53
None,13,50,51,301,246,0.0009627080289646983,55,9200,literbs-8-pruned,MERGEINTRAIL R:53
None,13,50,52,373,305,0.004248874960467219,68,10776,literbs-8-pruned-spacing,MERGEINTRAIL R:81
None,13,50,50,299,244,0.001011334010399878,55,9184,literbs-8-pythag,MERGEPOINT R:53
None,13,50,50,299,244,0.0010682089487090707,55,9184,literbs-8-pythag-pruned,MERGEDIRECT R:53
None,13,50,52,331,277,0.0103330829879269,54,36096,jps,
None,13,50,50,2182,2128,0.054936291999183595,54,218744,bf,
None,13,50,51,2182,2128,0.018796417047269642,54,313880,spfa,
None,13,50,50,264,203,0.002432249952107668,60,42784,da2,
None,13,50,49,1863,1805,0.020152959041297436,58,192096,a2,
None,13,50,52,2186,2132,0.29486641695257276,54,123832,lee,
None,13,50,18,238,134,0.0012076670536771417,104,10712,literbs,MERGEINTRAIL R:101
None,13,50,63,247,148,0.0013479579938575625,99,10760,literbs-pythag,MERGEPOINT R:97
None,13,50,19,238,135,0.0015968329971656203,103,10704,literbs-pruned,MERGEDIRECT R:101
None,13,50,35,268,167,0.0031288749305531383,101,11320,literbs-pruned-spacing,MERGEDIRECT R:99
None,13,50,51,323,267,0.0008559999987483025,56,9776,literbs-8,MERGEPOINT R:54
None,13,50,51,323,267,0.0009268749272450805,56,9776,literbs-8-pruned,MERGEINTRAIL R:54
None,13,50,45,332,265,0.0038344579515978694,67,9928,literbs-8-pruned-spacing,MERGEDIRECT R:69
None,13,50,52,309,253,0.0010151250753551722,56,9400,literbs-8-pythag,MERGEPOINT R:54
None,13,50,52,309,253,0.0010857089655473828,56,9400,literbs-8-pythag-pruned,MERGEINTRAIL R:54
None,13,50,51,324,271,0.008646041969768703,53,33256,jps,
None,13,50,49,2186,2132,0.08140133391134441,54,218688,bf,
None,13,50,50,2186,2132,0.018440874991938472,54,313824,spfa,
None,13,50,51,261,205,0.002421208075247705,55,42712,da2,
None,13,50,50,1810,1757,0.019325457978993654,53,192592,a2,
None,13,50,50,2190,2138,0.29830583394505084,52,123832,lee,
None,13,50,21,251,149,0.0012426250614225864,102,10864,literbs,MERGEINTRAIL R:99
