seed,density,gridSize,numberOfRightAngleTurns,visitSize,visitExcess,duration,pathSize,maxMemory,algorithm,message
None,14,50,49,260,202,0.002592082950286567,57,42648,da2,
None,14,50,48,1997,1940,0.022241291939280927,57,192688,a2,
None,14,50,49,2162,2108,0.2876707090763375,54,123832,lee,
None,14,50,28,299,185,0.001601333962753415,114,12096,literbs,MERGEINTRAIL R:138
None,14,50,59,245,146,0.0013117080088704824,99,10920,literbs-pythag,MERGEPOINT R:97
None,14,50,24,299,194,0.0019514589803293347,105,11960,literbs-pruned,MERGEDIRECT R:138
None,14,50,27,267,168,0.0031525000231340528,99,11240,literbs-pruned-spacing,MERGEINTRAIL R:100
None,14,50,49,326,266,0.0009550830582156777,60,10080,literbs-8,MERGEPOINT R:59
None,14,50,49,326,266,0.001027541933581233,60,10080,literbs-8-pruned,MERGEDIRECT R:59
None,14,50,50,833,765,0.010070916032418609,68,46992,literbs-8-pruned-spacing,MERGEINTRAIL R:211
None,14,50,49,312,254,0.0010501249926164746,58,9632,literbs-8-pythag,MERGEPOINT R:56
None,14,50,49,312,254,0.001137874904088676,58,9632,literbs-8-pythag-pruned,MERGEDIRECT R:56
None,14,50,52,333,279,0.010478958021849394,54,36240,jps,
None,14,50,52,2162,2108,0.057080833008512855,54,217736,bf,
None,14,50,50,2162,2108,0.018420625012367964,54,311136,spfa,
None,14,50,49,281,222,0.002512666047550738,58,47896,da2,
None,14,50,49,1932,1874,0.021367832901887596,58,193104,a2,
None,14,50,50,2166,2113,0.28460733394604176,53,123832,lee,
None,14,50,9,220,116,0.001203875057399273,104,10368,literbs,MERGEINTRAIL R:101
None,14,50,53,246,143,0.001380166970193386,103,10936,literbs-pythag,MERGEPOINT R:101
None,14,50,9,220,117,0.0015312089817598462,103,10360,literbs-pruned,MERGEDIRECT R:101
None,14,50,33,268,167,0.0030986249912530184,101,11352,literbs-pruned-spacing,MERGEDIRECT R:99
None,14,50,50,318,263,0.0008730000117793679,55,9736,literbs-8,MERGEPOINT R:54
None,14,50,50,318,263,0.0009377499809488654,55,9736,literbs-8-pruned,MERGEDIRECT R:54
None,14,50,54,323,257,0.0035497499629855156,66,9984,literbs-8-pruned-spacing,MERGEINTRAIL R:71
None,14,50,51,305,251,0.0009942499455064535,54,9440,literbs-8-pythag,MERGEPOINT R:53
None,14,50,51,305,251,0.001088749966584146,54,9440,literbs-8-pythag-pruned,MERGEDIRECT R:53
None,14,50,50,315,262,0.007769291987642646,53,34264,jps,
None,14,50,50,2166,2113,0.04535141703672707,53,215160,bf,
None,14,50,51,2166,2113,0.018737791921012104,53,312312,spfa,
None,14,50,48,246,183,0.002380291000008583,62,42552,da2,
None,14,50,48,1852,1792,0.020249500055797398,60,192992,a2,
None,14,50,51,2160,2107,0.28537387505639344,53,123832,lee,
None,14,50,33,324,214,0.0016109170392155647,110,12184,literbs,MERGEINTRAIL R:142
None,14,50,61,319,218,0.0017958750249817967,101,12288,literbs-pythag,MERGEPOINT R:140
None,14,50,30,324,217,0.0020231249509379268,107,12144,literbs-pruned,MERGEDIRECT R:142
None,14,50,36,266,167,0.003085333970375359,99,11088,literbs-pruned-spacing,MERGEDIRECT R:101
None,14,50,50,318,259,0.0008902089903131127,59,9624,literbs-8,MERGEPOINT R:57
None,14,50,48,318,261,0.000998708070255816,57,9592,literbs-8-pruned,MERGEINTRAIL R:57
None,14,50,50,433,365,0.004766708007082343,68,14400,literbs-8-pruned-spacing,MERGEDIRECT R:102
None,14,50,53,302,247,0.0009989159880205989,55,9208,literbs-8-pythag,MERGEPOINT R:54
None,14,50,53,302,247,0.0010901669738814235,55,9208,literbs-8-pythag-pruned,MERGEDIRECT R:54
None,14,50,51,317,264,0.00891254108864814,53,33880,jps,
None,14,50,51,2160,2107,0.054212291026487947,53,215664,bf,
None,14,50,51,2160,2107,0.01837887498550117,53,310240,spfa,
None,14,50,50,267,209,0.0025085420347750187,57,42832,da2,
None,14,50,49,1972,1916,0.021837749984115362,56,193384,a2,
None,14,50,51,2163,2110,0.28588170802686363,53,123832,lee,
None,14,50,29,241,135,0.0012412499636411667,106,10760,literbs,MERGEINTRAIL R:103
None,14,50,61,250,149,0.0013088749255985022,101,10848,literbs-pythag,MERGEPOINT R:99
None,14,50,27,241,138,0.001551042078062892,103,10720,literbs-pruned,MERGEDIRECT R:103
None,14,50,43,273,164,0.0031115830643102527,109,11576,literbs-pruned-spacing,MERGEDIRECT R:109
None,14,50,50,326,266,0.0009287080029025674,60,9904,literbs-8,MERGEPOINT R:59
None,14,50,50,326,266,0.0010389159433543682,60,9904,literbs-8-pruned,MERGEDIRECT R:59
None,14,50,49,398,326,0.0045874579809606075,72,13840,literbs-8-pruned-spacing,MERGEINTRAIL R:102
None,14,50,50,300,246,0.001020166091620922,54,9392,literbs-8-pythag,MERGEPOINT R:53
None,14,50,50,300,246,0.0010995840420946479,54,9392,literbs-8-pythag-pruned,MERGEDIRECT R:53
None,14,50,50,289,236,0.00686666602268815,53,32016,jps,
None,14,50,51,2163,2110,0.04474691697396338,53,216056,bf,
None,14,50,51,2163,2110,0.018590499996207654,53,311416,spfa,
None,14,50,50,268,210,0.00254250003490597,57,42904,da2,
None,14,50,50,1947,1890,0.022194665973074734,57,193440,a2,
None,14,50,50,2163,2109,0.28693825006484985,54,123832,lee,
None,14,50,33,234,128,0.0012083329493179917,106,10736,literbs,MERGEINTRAIL R:103
None,14,50,59,263,164,0.0013286250177770853,99,11208,literbs-pythag,MERGEPOINT R:98
None,14,50,33,234,129,0.0016031250124797225,105,10728,literbs-pruned,MERGEDIRECT R:103
None,14,50,27,282,183,0.003455291036516428,99,11488,literbs-pruned-spacing,MERGEDIRECT R:105
None,14,50,53,340,277,0.0009487499482929707,63,10096,literbs-8,MERGEPOINT R:62
None,14,50,50,340,279,0.0011082919081673026,61,10072,literbs-8-pruned,MERGEDIRECT R:62
None,14,50,46,376,307,0.004392875009216368,69,10824,literbs-8-pruned-spacing,MERGEINTRAIL R:77
None,14,50,53,305,247,0.001062834053300321,58,9328,literbs-8-pythag,MERGEPOINT R:56
None,14,50,53,305,247,0.0011270419927313924,58,9328,literbs-8-pythag-pruned,MERGEINTRAIL R:56
None,14,50,51,355,302,0.011155917076393962,53,59872,jps,
None,14,50,51,2163,2109,0.05411141598597169,54,216168,bf,
None,14,50,52,2163,2109,0.018574166926555336,54,310520,spfa,
None,14,50,50,271,214,0.0024912080261856318,56,42984,da2,
None,14,50,50,1846,1792,0.02008416608441621,54,193440,a2,
None,14,50,50,2163,2111,0.285723292035982,52,123832,lee,
None,14,50,17,249,147,0.0011994580272585154,102,10824,literbs,MERGEINTRAIL R:99
None,14,50,51,245,142,0.0012964580673724413,103,10776,literbs-pythag,MERGEPOINT R:101
None,14,50,17,249,148,0.0014955410733819008,101,10816,literbs-pruned,MERGEDIRECT R:99
None,14,50,39,263,162,0.003038666909560561,101,11248,literbs-pruned-spacing,MERGEDIRECT R:99
None,14,50,50,300,247,0.000810708967037499,53,9384,literbs-8,MERGEPOINT R:51
None,14,50,50,300,247,0.0009055000264197588,53,9384,literbs-8-pruned,MERGEINTRAIL R:51
None,14,50,50,346,274,0.003763084067031741,72,10144,literbs-8-pruned-spacing,MERGEDIRECT R:76
None,14,50,50,300,248,0.0009719160152599216,52,9160,literbs-8-pythag,MERGEPOINT R:50
None,14,50,50,300,248,0.0010286669712513685,52,9160,literbs-8-pythag-pruned,MERGEINTRAIL R:50
None,14,50,49,263,212,0.005803292035125196,51,30488,jps,
None,14,50,50,2163,2111,0.055300625041127205,52,214336,bf,
None,14,50,50,2163,2111,0.01864091702736914,52,311936,spfa,
None,14,50,49,281,226,0.002664417028427124,54,42976,da2,
None,14,50,49,2027,1973,0.022712624981068075,54,195904,a2,
None,14,50,50,2166,2113,0.2851592500228435,53,123832,lee,
None,14,50,25,238,136,0.001202082959935069,102,10720,literbs,MERGEINTRAIL R:99
None,14,50,59,240,137,0.0013292500516399741,103,10864,literbs-pythag,MERGEPOINT R:101
None,14,50,25,238,137,0.0015393339563161135,101,10712,literbs-pruned,MERGEDIRECT R:99
None,14,50,29,263,164,0.003095375024713576,99,11264,literbs-pruned-spacing,MERGEDIRECT R:97
None,14,50,50,299,246,0.000842957990244031,53,9176,literbs-8,MERGEPOINT R:51
None,14,50,50,299,246,0.0008911669719964266,53,9176,literbs-8-pruned,MERGEINTRAIL R:51
None,14,50,52,506,438,0.005265083978883922,68,15424,literbs-8-pruned-spacing,MERGEINTRAIL R:111
None,14,50,51,318,261,0.001045999932102859,57,9592,literbs-8-pythag,MERGEPOINT R:56
None,14,50,51,318,261,0.0011173749808222055,57,9592,literbs-8-pythag-pruned,MERGEDIRECT R:56
None,14,50,50,281,229,0.006541208946146071,52,31128,jps,
None,14,50,50,2166,2113,0.05608895793557167,53,215048,bf,
None,14,50,50,2166,2113,0.019421417033299804,53,311976,spfa,
None,14,50,49,255,197,0.002446332946419716,57,42600,da2,
None,14,50,48,1890,1833,0.020521790953353047,57,192384,a2,
None,14,50,50,2158,2106,0.28441808407660574,52,123832,lee,
None,14,50,19,221,121,0.0011587500339373946,100,10272,literbs,MERGEINTRAIL R:97
None,14,50,67,242,141,0.0012980829924345016,101,10784,literbs-pythag,MERGEPOINT R:100
None,14,50,19,221,122,0.001442417036741972,99,10264,literbs-pruned,MERGEDIRECT R:97
None,14,50,43,263,160,0.0030384589917957783,103,11272,literbs-pruned-spacing,MERGEDIRECT R:101
None,14,50,50,309,253,0.0008647500071674585,56,9336,literbs-8,MERGEPOINT R:55
None,14,50,50,309,253,0.0009655000176280737,56,9336,literbs-8-pruned,MERGEDIRECT R:55
None,14,50,47,331,262,0.0037457089638337493,69,9992,literbs-8-pruned-spacing,MERGEDIRECT R:71
None,14,50,50,307,251,0.001004124991595745,56,9296,literbs-8-pythag,MERGEPOINT R:54
None,14,50,50,307,251,0.0010836670408025384,56,9296,literbs-8-pythag-pruned,MERGEDIRECT R:54
None,14,50,50,205,153,0.0036553749814629555,52,29376,jps,
None,14,50,50,2158,2106,0.04446566698607057,52,214392,bf,
None,14,50,50,2158,2106,0.018254250055179,52,309752,spfa,
None,14,50,50,276,220,0.002592041972093284,55,47760,da2,
None,14,50,49,2047,1992,0.023484666016884148,55,197256,a2,
None,14,50,51,2162,2108,0.28532087500207126,54,123832,lee,
None,14,50,25,317,213,0.001582416007295251,104,12312,literbs,MERGEINTRAIL R:134
None,14,50,58,254,149,0.001413583057001233,105,11240,literbs-pythag,MERGEPOINT R:103
None,14,50,24,317,214,0.0019801249727606773,103,12304,literbs-pruned,MERGEINTRAIL R:134
None,14,50,60,287,180,0.003312584012746811,107,11744,literbs-pruned-spacing,MERGEDIRECT R:105
None,14,50,51,362,303,0.0010321250883862376,59,10608,literbs-8,MERGEPOINT R:69
None,14,50,51,362,303,0.0011352499714121222,59,10608,literbs-8-pruned,MERGEINTRAIL R:69
None,14,50,50,409,339,0.004610999953001738,70,13696,literbs-8-pruned-spacing,MERGEDIRECT R:101
None,14,50,50,297,241,0.0010632500052452087,56,9208,literbs-8-pythag,MERGEPOINT R:54
None,14,50,50,297,241,0.0010825840290635824,56,9208,literbs-8-pythag-pruned,MERGEINTRAIL R:54
None,14,50,51,330,276,0.010142124956473708,54,34016,jps,
None,14,50,47,2162,2108,0.04414845793507993,54,215888,bf,
None,14,50,50,2162,2108,0.01830100000370294,54,309512,spfa,
None,14,50,51,275,219,0.0025731250643730164,55,47832,da2,
None,14,50,51,1901,1847,0.021402542013674974,54,193600,a2,
None,14,50,50,2164,2111,0.2865847909124568,53,123832,lee,
None,14,50,20,246,142,0.001225208048708737,104,10928,literbs,MERGEINTRAIL R:101
None,14,50,59,238,139,0.0012807080056518316,99,10688,literbs-pythag,MERGEPOINT R:97
None,14,50,21,246,143,0.0015460830181837082,103,10920,literbs-pruned,MERGEDIRECT R:101
None,14,50,34,300,199,0.003582292003557086,101,12000,literbs-pruned-spacing,MERGEINTRAIL R:114
None,14,50,52,287,231,0.0008376659825444221,56,8816,literbs-8,MERGEPOINT R:54
None,14,50,52,287,231,0.0009041669545695186,56,8816,literbs-8-pruned,MERGEINTRAIL R:54
None,14,50,46,399,320,0.00483616697601974,79,13672,literbs-8-pruned-spacing,MERGEDIRECT R:85
None,14,50,53,296,238,0.0010101660154759884,58,9120,literbs-8-pythag,MERGEPOINT R:56
None,14,50,53,296,238,0.0010979999788105488,58,9120,literbs-8-pythag-pruned,MERGEINTRAIL R:56
None,14,50,51,213,160,0.0037780830170959234,53,29232,jps,
None,14,50,51,2164,2111,0.055934582953341305,53,216000,bf,
None,14,50,51,2164,2111,0.018480833037756383,53,310072,spfa,
