seed,density,gridSize,numberOfRightAngleTurns,visitSize,visitExcess,duration,pathSize,maxMemory,algorithm,message
None,15,50,50,270,211,0.002582582994364202,58,47808,da2,
None,15,50,50,1993,1937,0.022218875004909933,56,195472,a2,
None,15,50,50,2140,2088,0.27785441593732685,52,123832,lee,
None,15,50,19,250,146,0.0012660420034080744,104,10904,literbs,MERGEINTRAIL R:101
None,15,50,66,302,187,0.0017206249758601189,115,12096,literbs-pythag,MERGEPOINT R:131
None,15,50,20,250,147,0.0015800000401213765,103,10896,literbs-pruned,MERGEDIRECT R:101
None,15,50,46,335,224,0.0038130420725792646,111,12720,literbs-pruned-spacing,MERGEINTRAIL R:134
None,15,50,50,301,247,0.0008520829724147916,54,9208,literbs-8,MERGEPOINT R:53
None,15,50,50,301,247,0.0009168749675154686,54,9208,literbs-8-pruned,MERGEDIRECT R:53
None,15,50,51,339,267,0.003751042066141963,72,10312,literbs-8-pruned-spacing,MERGEDIRECT R:72
None,15,50,51,304,249,0.0009990830440074205,55,9240,literbs-8-pythag,MERGEPOINT R:54
None,15,50,51,304,249,0.0010824170894920826,55,9240,literbs-8-pythag-pruned,MERGEDIRECT R:54
None,15,50,50,252,200,0.005738958017900586,52,29424,jps,
None,15,50,48,2140,2088,0.03209308302029967,52,213720,bf,
None,15,50,49,2140,2088,0.01805516704916954,52,305384,spfa,
None,15,50,52,247,188,0.002334167016670108,58,42560,da2,
None,15,50,50,1880,1823,0.020524249994195998,57,194616,a2,
None,15,50,50,2139,2085,0.278226749971509,54,123832,lee,
None,15,50,27,252,142,0.0013027919922024012,110,11080,literbs,MERGEDIRECT R:109
None,15,50,66,247,144,0.001319207949563861,103,10864,literbs-pythag,MERGEPOINT R:102
None,15,50,28,252,143,0.0016552500892430544,109,11072,literbs-pruned,MERGEDIRECT R:109
None,15,50,40,263,158,0.002977333962917328,105,11432,literbs-pruned-spacing,MERGEDIRECT R:106
None,15,50,50,313,256,0.0008561660069972277,57,9376,literbs-8,MERGEPOINT R:55
None,15,50,50,313,256,0.0009682499803602695,57,9376,literbs-8-pruned,MERGEDIRECT R:55
None,15,50,54,335,269,0.00378008303232491,66,10096,literbs-8-pruned-spacing,MERGEDIRECT R:69
None,15,50,52,302,245,0.0010262089781463146,57,9256,literbs-8-pythag,MERGEPOINT R:56
None,15,50,52,302,245,0.00110037496779114,57,9256,literbs-8-pythag-pruned,MERGEDIRECT R:56
None,15,50,52,356,302,0.010325583978556097,54,61152,jps,
None,15,50,52,2139,2085,0.06569866696372628,54,212416,bf,
None,15,50,52,2139,2085,0.018151374999433756,54,308560,spfa,
None,15,50,49,257,196,0.002527541946619749,60,42712,da2,
None,15,50,50,1881,1823,0.020579750067554414,58,195288,a2,
None,15,50,50,2138,2084,0.27825500001199543,54,123832,lee,
None,15,50,36,310,202,0.0017036249628290534,108,12248,literbs,MERGEDIRECT R:145
None,15,50,64,265,162,0.0014602500014007092,103,11288,literbs-pythag,MERGEPOINT R:110
None,15,50,29,310,207,0.0020865830592811108,103,12176,literbs-pruned,MERGEDIRECT R:145
None,15,50,49,279,176,0.003112875041551888,103,11576,literbs-pruned-spacing,MERGEDIRECT R:109
None,15,50,50,315,256,0.0008988329209387302,59,9440,literbs-8,MERGEPOINT R:58
None,15,50,50,315,256,0.0009934579720720649,59,9440,literbs-8-pruned,MERGEDIRECT R:58
