seed,density,gridSize,numberOfRightAngleTurns,visitSize,visitExcess,duration,pathSize,maxMemory,algorithm,message
None,27,50,52,226,164,0.002367125009186566,61,33008,da2,
None,27,50,51,1278,1220,0.01261237496510148,58,99904,a2,
None,27,50,52,1851,1796,0.18140254099853337,55,123304,lee,
None,27,50,40,246,142,0.0014810001011937857,104,10728,literbs,MERGEINTRAIL R:130
None,27,50,59,387,284,0.0028652920154854655,103,17968,literbs-pythag,MERGEPOINT R:260
None,27,50,38,246,143,0.0018022919539362192,103,10720,literbs-pruned,MERGEDIRECT R:130
None,27,50,45,493,384,0.005828374996781349,109,20232,literbs-pruned-spacing,MERGEDIRECT R:310
None,27,50,52,279,220,0.0009056669659912586,59,8920,literbs-8,MERGEPOINT R:62
None,27,50,51,279,221,0.0009781250264495611,58,8904,literbs-8-pruned,MERGEINTRAIL R:62
None,27,50,55,253,185,0.002614416996948421,68,8352,literbs-8-pruned-spacing,MERGEDIRECT R:78
None,27,50,50,273,216,0.000998042058199644,57,8808,literbs-8-pythag,MERGEPOINT R:58
None,27,50,50,273,216,0.001082375063560903,57,8808,literbs-8-pythag-pruned,MERGEDIRECT R:58
None,27,50,51,288,234,0.006353916018269956,54,29400,jps,
None,27,50,50,1851,1796,0.07618920796085149,55,176296,bf,
None,27,50,51,1851,1796,0.015132957953028381,55,249368,spfa,
None,27,50,52,256,193,0.0029788330430164933,62,47416,da2,
None,27,50,52,1479,1419,0.01621383405290544,60,214400,a2,
None,27,50,51,1854,1798,0.1780417920090258,56,123304,lee,
None,27,50,45,848,736,0.006602583918720484,112,35584,literbs,MERGEINTRAIL R:630
None,27,50,50,243,136,0.0016505829989910126,107,10968,literbs-pythag,MERGEPOINT R:134
None,27,50,44,848,741,0.007650583051145077,107,35544,literbs-pruned,MERGEINTRAIL R:630
None,27,50,48,281,174,0.003141124965623021,107,11632,literbs-pruned-spacing,MERGEINTRAIL R:142
None,27,50,54,323,257,0.0009676669724285603,66,9896,literbs-8,MERGEPOINT R:65
None,27,50,54,323,257,0.001043959055095911,66,9896,literbs-8-pruned,MERGEDIRECT R:65
None,27,50,51,586,517,0.00558987504336983,69,21896,literbs-8-pruned-spacing,MERGEDIRECT R:203
None,27,50,51,271,214,0.0009657919872552156,57,8576,literbs-8-pythag,MERGEPOINT R:56
None,27,50,51,271,214,0.0010689999908208847,57,8576,literbs-8-pythag-pruned,MERGEDIRECT R:56
None,27,50,50,455,402,0.01405300002079457,53,59240,jps,
None,27,50,53,1854,1798,0.0649493329692632,56,176576,bf,
None,27,50,53,1854,1798,0.015443957992829382,56,250208,spfa,
None,27,50,51,223,159,0.0025938330218195915,63,32912,da2,
None,27,50,52,1389,1328,0.015143707976676524,61,215576,a2,
None,27,50,53,1848,1792,0.1828262920025736,56,123304,lee,
None,27,50,48,277,153,0.0016386249335482717,124,11568,literbs,MERGEINTRAIL R:142
None,27,50,49,269,164,0.0019705839222297072,105,13360,literbs-pythag,MERGEPOINT R:173
None,27,50,44,277,160,0.0019958330085501075,117,11512,literbs-pruned,MERGEDIRECT R:142
None,27,50,54,548,433,0.006830040947534144,115,25400,literbs-pruned-spacing,MERGEINTRAIL R:382
None,27,50,52,290,227,0.0009176250314339995,63,9208,literbs-8,MERGEPOINT R:61
None,27,50,52,290,228,0.0009851249633356929,62,9192,literbs-8-pruned,MERGEINTRAIL R:61
None,27,50,59,709,634,0.008616041974164546,75,24136,literbs-8-pruned-spacing,MERGEINTRAIL R:405
None,27,50,53,265,208,0.0009840410202741623,57,8504,literbs-8-pythag,MERGEPOINT R:55
None,27,50,52,265,209,0.0010528750717639923,56,8488,literbs-8-pythag-pruned,MERGEINTRAIL R:55
None,27,50,53,341,285,0.00801158300600946,56,49360,jps,
None,27,50,52,1848,1792,0.07269837497733533,56,176016,bf,
None,27,50,52,1848,1792,0.01520933408755809,56,248360,spfa,
None,27,50,54,212,152,0.0022835000418126583,59,32760,da2,
None,27,50,53,1241,1182,0.012075625010766089,59,97704,a2,
None,27,50,52,1852,1795,0.18328383401967585,57,123304,lee,
None,27,50,49,743,623,0.005594500107690692,120,33880,literbs,MERGEINTRAIL R:516
None,27,50,56,454,333,0.0030814160127192736,121,19808,literbs-pythag,MERGEPOINT R:266
None,27,50,46,743,636,0.006182832992635667,107,33680,literbs-pruned,MERGEINTRAIL R:516
None,27,50,57,399,292,0.004372459021396935,107,18456,literbs-pruned-spacing,MERGEDIRECT R:198
None,27,50,53,272,213,0.0008597499690949917,59,8856,literbs-8,MERGEPOINT R:57
None,27,50,53,272,213,0.0009274170733988285,59,8856,literbs-8-pruned,MERGEINTRAIL R:57
None,27,50,53,934,858,0.011580790975131094,76,44512,literbs-8-pruned-spacing,MERGEINTRAIL R:514
None,27,50,52,272,215,0.0009880829602479935,57,8784,literbs-8-pythag,MERGEPOINT R:56
None,27,50,52,272,215,0.001075709005817771,57,8784,literbs-8-pythag-pruned,MERGEDIRECT R:56
None,27,50,52,373,317,0.009627792052924633,56,58752,jps,
None,27,50,54,1852,1795,0.09262279199901968,57,176520,bf,
None,27,50,53,1852,1795,0.015248041949234903,57,247632,spfa,
None,27,50,48,219,154,0.002411667024716735,64,33016,da2,
None,27,50,47,1537,1475,0.01689520792569965,62,214712,a2,
None,27,50,50,1851,1796,0.18035799998324364,55,123304,lee,
None,27,50,47,616,502,0.004389457986690104,114,31768,literbs,MERGEINTRAIL R:412
None,27,50,67,690,573,0.006700582918711007,117,33184,literbs-pythag,MERGEPOINT R:607
None,27,50,47,616,505,0.005234207957983017,111,31776,literbs-pruned,MERGEINTRAIL R:412
None,27,50,57,697,578,0.010128333000466228,119,32848,literbs-pruned-spacing,MERGEINTRAIL R:555
None,27,50,49,293,235,0.0009168749675154686,58,9208,literbs-8,MERGEPOINT R:59
None,27,50,50,293,236,0.0009716249769553542,57,9192,literbs-8-pruned,MERGEINTRAIL R:59
None,27,50,53,876,809,0.014471542090177536,67,44872,literbs-8-pruned-spacing,MERGEINTRAIL R:761
None,27,50,50,288,228,0.0010189589811488986,60,9168,literbs-8-pythag,MERGEPOINT R:58
None,27,50,50,288,229,0.0011254169512540102,59,9152,literbs-8-pythag-pruned,MERGEDIRECT R:58
None,27,50,51,336,282,0.008838500012643635,54,31376,jps,
None,27,50,52,1852,1797,24.344978832989,55,176488,bf,
None,27,50,52,1852,1797,0.015373958041891456,55,250936,spfa,
None,27,50,51,224,167,0.0022639590315520763,56,32960,da2,
None,27,50,50,1374,1320,0.014924832968972623,54,213480,a2,
None,27,50,51,1846,1792,0.1784356669522822,54,123304,lee,
None,27,50,41,491,385,0.003816167009063065,106,20080,literbs,MERGEINTRAIL R:370
None,27,50,47,281,176,0.0017785419477149844,105,11408,literbs-pythag,MERGEPOINT R:147
None,27,50,44,491,386,0.004547083051875234,105,20072,literbs-pruned,MERGEINTRAIL R:370
None,27,50,42,326,221,0.00399916700553149,105,17296,literbs-pruned-spacing,MERGEDIRECT R:199
None,27,50,52,267,207,0.0009038751013576984,60,8464,literbs-8,MERGEPOINT R:58
None,27,50,52,267,210,0.0009294169722124934,57,8424,literbs-8-pruned,MERGEINTRAIL R:58
None,27,50,56,326,256,0.0034272499615326524,70,12032,literbs-8-pruned-spacing,MERGEDIRECT R:98
None,27,50,50,269,211,0.0010009169345721602,58,8528,literbs-8-pythag,MERGEPOINT R:56
None,27,50,50,269,212,0.0010735829127952456,57,8520,literbs-8-pythag-pruned,MERGEINTRAIL R:56
None,27,50,51,281,227,0.0059871249832212925,54,30120,jps,
None,27,50,50,1846,1792,0.0737297919113189,54,175736,bf,
None,27,50,50,1846,1792,0.015167500008828938,54,249984,spfa,
None,27,50,52,230,169,0.0023386250250041485,60,33096,da2,
None,27,50,51,1223,1163,0.011838624952360988,60,96280,a2,
None,27,50,53,1851,1795,0.18245774996466935,56,124200,lee,
None,27,50,40,573,455,0.005091374972835183,118,31112,literbs,MERGEINTRAIL R:492
None,27,50,55,509,394,0.0038150419713929296,115,20368,literbs-pythag,MERGEPOINT R:336
None,27,50,39,573,456,0.005844915984198451,117,31104,literbs-pruned,MERGEINTRAIL R:492
None,27,50,37,571,468,0.008033292018808424,103,30544,literbs-pruned-spacing,MERGEINTRAIL R:453
None,27,50,52,381,319,0.0012373749632388353,62,12968,literbs-8,MERGEPOINT R:89
None,27,50,52,381,319,0.0013189580058678985,62,12968,literbs-8-pruned,MERGEINTRAIL R:89
