seed,density,gridSize,numberOfRightAngleTurns,visitSize,visitExcess,duration,pathSize,maxMemory,algorithm,message
None,12,50,49,266,212,0.002492625033482909,53,42664,da2,
None,12,50,48,1919,1866,0.020943333045579493,53,190304,a2,
None,12,50,50,2215,2163,0.3074102499522269,52,123832,lee,
None,12,50,17,216,116,0.001177457976154983,100,10240,literbs,MERGEINTRAIL R:97
None,12,50,63,250,149,0.0012897499836981297,101,10952,literbs-pythag,MERGEPOINT R:99
None,12,50,17,216,117,0.0014339169720187783,99,10232,literbs-pruned,MERGEDIRECT R:97
None,12,50,41,258,157,0.0029806660022586584,101,11096,literbs-pruned-spacing,MERGEDIRECT R:99
None,12,50,46,308,256,0.0008261250331997871,52,9456,literbs-8,MERGEPOINT R:51
None,12,50,46,308,256,0.0008745829109102488,52,9456,literbs-8-pruned,MERGEDIRECT R:51
None,12,50,47,358,288,0.004109542001970112,70,10504,literbs-8-pruned-spacing,MERGEDIRECT R:69
None,12,50,46,308,256,0.0009724999545142055,52,9456,literbs-8-pythag,MERGEPOINT R:51
None,12,50,46,308,256,0.0010510829742997885,52,9456,literbs-8-pythag-pruned,MERGEDIRECT R:51
None,12,50,50,271,219,0.00612420798279345,52,30624,jps,
None,12,50,48,2215,2163,0.045114791952073574,52,223856,bf,
None,12,50,49,2215,2163,0.018818375072441995,52,320112,spfa,
None,12,50,52,272,215,0.002426041988655925,56,47128,da2,
None,12,50,52,1970,1914,0.021967042004689574,56,189168,a2,
None,12,50,50,2211,2158,0.3039509999798611,53,123832,lee,
None,12,50,32,266,158,0.0012532920809462667,108,11512,literbs,MERGEINTRAIL R:105
None,12,50,66,375,270,0.002004625042900443,105,13280,literbs-pythag,MERGEPOINT R:161
None,12,50,33,266,159,0.0015924170147627592,107,11504,literbs-pruned,MERGEDIRECT R:105
None,12,50,41,389,284,0.004396375035867095,105,13800,literbs-pruned-spacing,MERGEINTRAIL R:158
None,12,50,52,329,271,0.0008843749528750777,58,9840,literbs-8,MERGEPOINT R:57
None,12,50,52,329,271,0.0009614588925614953,58,9840,literbs-8-pruned,MERGEDIRECT R:57
None,12,50,54,572,504,0.005755624966695905,68,17096,literbs-8-pruned-spacing,MERGEDIRECT R:125
None,12,50,50,321,265,0.0010536250192672014,56,9656,literbs-8-pythag,MERGEPOINT R:55
None,12,50,50,321,265,0.0011166669428348541,56,9656,literbs-8-pythag-pruned,MERGEDIRECT R:55
None,12,50,50,287,235,0.007370249950326979,52,32168,jps,
None,12,50,51,2211,2158,0.044704167055897415,53,224288,bf,
None,12,50,50,2211,2158,0.01870337489526719,53,321160,spfa,
None,12,50,49,277,221,0.0024446670431643724,55,43040,da2,
None,12,50,49,2041,1988,0.022384874988347292,53,192760,a2,
None,12,50,50,2213,2160,0.30565554089844227,53,123832,lee,
None,12,50,24,248,148,0.0011567920446395874,100,10800,literbs,MERGEINTRAIL R:97
None,12,50,60,247,148,0.001281999982893467,99,10816,literbs-pythag,MERGEPOINT R:98
None,12,50,24,248,149,0.0014550830237567425,99,10792,literbs-pruned,MERGEDIRECT R:97
None,12,50,40,272,171,0.003195500001311302,101,11312,literbs-pruned-spacing,MERGEDIRECT R:103
None,12,50,50,312,257,0.0008396250195801258,55,9512,literbs-8,MERGEPOINT R:53
None,12,50,50,312,257,0.0009119589813053608,55,9512,literbs-8-pruned,MERGEDIRECT R:53
None,12,50,54,356,293,0.0042160829761996865,63,10632,literbs-8-pruned-spacing,MERGEINTRAIL R:72
None,12,50,51,293,240,0.0009555419674143195,53,9080,literbs-8-pythag,MERGEPOINT R:51
None,12,50,51,293,240,0.00103554199449718,53,9080,literbs-8-pythag-pruned,MERGEINTRAIL R:51
None,12,50,50,327,275,0.009793458040803671,52,35128,jps,
None,12,50,49,2213,2160,0.05835920898243785,53,222160,bf,
None,12,50,49,2213,2160,0.01886645902413875,53,320096,spfa,
None,12,50,50,265,204,0.0024712090380489826,60,42848,da2,
None,12,50,50,2064,2006,0.02284966700244695,58,194872,a2,
None,12,50,49,2211,2160,0.3051866249879822,51,123832,lee,
None,12,50,32,513,411,0.002682749996893108,102,20624,literbs,MERGEINTRAIL R:246
None,12,50,57,279,176,0.0014662500470876694,103,11608,literbs-pythag,MERGEPOINT R:113
None,12,50,31,513,412,0.003152749966830015,101,20616,literbs-pruned,MERGEINTRAIL R:246
None,12,50,43,274,171,0.0033056250540539622,103,11456,literbs-pruned-spacing,MERGEDIRECT R:102
None,12,50,49,316,262,0.0008790419669821858,54,9608,literbs-8,MERGEPOINT R:53
