seed,density,gridSize,numberOfRightAngleTurns,visitSize,visitExcess,duration,pathSize,maxMemory,algorithm,message
None,23,50,48,248,188,0.002340083010494709,59,42024,da2,
None,23,50,48,1536,1478,0.01710637495853007,58,207736,a2,
None,23,50,51,1948,1892,0.21151133300736547,56,123832,lee,
None,23,50,27,224,120,0.0012183749349787831,104,10408,literbs,MERGEINTRAIL R:101
None,23,50,45,470,359,0.0034938750322908163,111,19720,literbs-pythag,MERGEPOINT R:301
None,23,50,27,224,121,0.001496792072430253,103,10400,literbs-pruned,MERGEDIRECT R:101
None,23,50,33,463,358,0.005138042033649981,105,19544,literbs-pruned-spacing,MERGEDIRECT R:244
None,23,50,51,327,263,0.0009651249274611473,64,9744,literbs-8,MERGEPOINT R:64
None,23,50,51,327,265,0.0010371250100433826,62,9720,literbs-8-pruned,MERGEINTRAIL R:64
None,23,50,56,781,711,0.008085249923169613,70,25568,literbs-8-pruned-spacing,MERGEDIRECT R:308
None,23,50,52,300,235,0.001101417001336813,65,9440,literbs-8-pythag,MERGEPOINT R:63
None,23,50,52,300,235,0.0011991250794380903,65,9440,literbs-8-pythag-pruned,MERGEINTRAIL R:63
None,23,50,51,302,246,0.0066564580192789435,56,31024,jps,
None,23,50,48,1949,1893,25.78678154188674,56,187800,bf,
None,23,50,48,1949,1893,0.01606425002682954,56,266168,spfa,
None,23,50,50,235,176,0.002373624942265451,58,42248,da2,
None,23,50,50,1393,1337,0.014495666953735054,56,208464,a2,
None,23,50,50,1950,1895,0.21330816694535315,55,123832,lee,
None,23,50,35,255,137,0.001359208021312952,118,11136,literbs,MERGEINTRAIL R:115
None,23,50,46,647,540,0.005485791014507413,107,32504,literbs-pythag,MERGEPOINT R:484
None,23,50,28,255,146,0.0017072920454666018,109,11016,literbs-pruned,MERGEDIRECT R:115
None,23,50,44,383,276,0.0043325829319655895,107,18208,literbs-pruned-spacing,MERGEDIRECT R:185
None,23,50,50,272,216,0.0008263330673798919,56,8656,literbs-8,MERGEPOINT R:54
None,23,50,50,272,216,0.0008738329634070396,56,8656,literbs-8-pruned,MERGEDIRECT R:54
None,23,50,53,1068,990,0.01181479194201529,78,53168,literbs-8-pruned-spacing,MERGEINTRAIL R:408
None,23,50,51,268,213,0.0009399160044267774,55,8600,literbs-8-pythag,MERGEPOINT R:53
None,23,50,51,268,213,0.001032083062455058,55,8600,literbs-8-pythag-pruned,MERGEINTRAIL R:53
None,23,50,50,287,233,0.00698479195125401,54,31360,jps,
None,23,50,51,1950,1895,0.05675125005654991,55,187272,bf,
None,23,50,51,1950,1895,0.016418708954006433,55,268184,spfa,
None,23,50,51,230,171,0.002609291928820312,58,33024,da2,
