seed,density,gridSize,numberOfRightAngleTurns,visitSize,visitExcess,duration,pathSize,maxMemory,algorithm,message
None,16,50,49,242,181,0.0025120420614257455,60,42536,da2,
None,16,50,50,1945,1888,0.022423958987928927,57,196632,a2,
None,16,50,50,2117,2064,0.2641257079085335,53,123832,lee,
None,16,50,26,242,136,0.0012497920542955399,106,10776,literbs,MERGEINTRAIL R:104
None,16,50,52,250,151,0.0014205410843715072,99,10920,literbs-pythag,MERGEPOINT R:112
None,16,50,26,242,137,0.001617165980860591,105,10768,literbs-pruned,MERGEDIRECT R:104
None,16,50,32,469,356,0.005264832987450063,113,19808,literbs-pruned-spacing,MERGEINTRAIL R:223
None,16,50,50,291,236,0.0008490000618621707,55,9192,literbs-8,MERGEPOINT R:53
None,16,50,51,291,237,0.0009415410459041595,54,9184,literbs-8-pruned,MERGEINTRAIL R:53
None,16,50,47,328,254,0.003763750079087913,74,10160,literbs-8-pruned-spacing,MERGEDIRECT R:76
None,16,50,49,281,227,0.000978624913841486,54,8888,literbs-8-pythag,MERGEPOINT R:52
None,16,50,50,281,228,0.001050082966685295,53,8880,literbs-8-pythag-pruned,MERGEINTRAIL R:52
None,16,50,50,325,272,0.009069542051292956,53,33952,jps,
None,16,50,51,2117,2064,0.05409941705875099,53,209504,bf,
None,16,50,50,2117,2064,0.01782775006722659,53,302848,spfa,
None,16,50,50,247,192,0.0023153750225901604,54,42576,da2,
None,16,50,49,1719,1665,0.01858641696162522,54,196520,a2,
None,16,50,51,2110,2056,0.26375487504992634,54,123832,lee,
None,16,50,35,243,141,0.0012683749664574862,102,10832,literbs,MERGEDIRECT R:107
None,16,50,55,239,138,0.0013607919681817293,101,10672,literbs-pythag,MERGEPOINT R:99
None,16,50,35,243,142,0.001590042025782168,101,10824,literbs-pruned,MERGEDIRECT R:107
None,16,50,37,265,164,0.0030246670357882977,101,11328,literbs-pruned-spacing,MERGEDIRECT R:101
None,16,50,51,313,255,0.000993667053990066,58,9592,literbs-8,MERGEPOINT R:57
None,16,50,51,313,255,0.0010226670419797301,58,9592,literbs-8-pruned,MERGEDIRECT R:57
None,16,50,52,342,274,0.004150792025029659,68,12952,literbs-8-pruned-spacing,MERGEINTRAIL R:118
