seed,density,gridSize,numberOfRightAngleTurns,visitSize,visitExcess,duration,pathSize,maxMemory,algorithm,message
None,7,50,49,296,239,0.002461833064444363,56,48200,da2,
None,7,50,49,2168,2115,0.02375016699079424,53,193096,a2,
None,7,50,49,2329,2278,0.35468112502712756,51,123832,lee,
None,7,50,17,251,151,0.0011659999145194888,100,10984,literbs,MERGEINTRAIL R:97
None,7,50,63,272,173,0.0012937909923493862,99,11520,literbs-pythag,MERGEPOINT R:97
None,7,50,17,251,152,0.0014214999973773956,99,10976,literbs-pruned,MERGEDIRECT R:97
None,7,50,31,284,183,0.003598624956794083,101,11680,literbs-pruned-spacing,MERGEDIRECT R:99
None,7,50,50,322,269,0.0008286669617518783,53,9632,literbs-8,MERGEPOINT R:51
None,7,50,50,322,269,0.000895917066372931,53,9632,literbs-8-pruned,MERGEINTRAIL R:51
None,7,50,52,345,288,0.004284083959646523,57,10112,literbs-8-pruned-spacing,MERGEDIRECT R:56
None,7,50,49,308,257,0.0009642080403864384,51,9432,literbs-8-pythag,MERGEPOINT R:49
None,7,50,49,308,257,0.0010241660056635737,51,9432,literbs-8-pythag-pruned,MERGEINTRAIL R:49
None,7,50,49,257,206,0.00847045797854662,51,31544,jps,
None,7,50,49,2329,2278,0.03459874994587153,51,242224,bf,
None,7,50,49,2329,2278,0.019657499971799552,51,345536,spfa,
None,7,50,49,318,263,0.002560792025178671,54,48392,da2,
None,7,50,49,2251,2198,0.02519329101778567,53,197632,a2,
None,7,50,49,2332,2281,0.3590957090491429,51,123832,lee,
None,7,50,10,280,180,0.0013535000616684556,100,11512,literbs,MERGEINTRAIL R:109
None,7,50,67,269,170,0.0013544170651584864,99,11272,literbs-pythag,MERGEPOINT R:97
None,7,50,9,280,181,0.0016814169939607382,99,11504,literbs-pruned,MERGEDIRECT R:109
None,7,50,29,296,197,0.003636999987065792,99,11888,literbs-pruned-spacing,MERGEDIRECT R:103
None,7,50,49,310,259,0.0008124579908326268,51,9384,literbs-8,MERGEPOINT R:49
None,7,50,49,310,259,0.0008737079333513975,51,9384,literbs-8-pruned,MERGEINTRAIL R:49
None,7,50,50,363,302,0.00463462492916733,61,10504,literbs-8-pruned-spacing,MERGEDIRECT R:60
None,7,50,49,310,259,0.0009445840260013938,51,9384,literbs-8-pythag,MERGEPOINT R:49
None,7,50,49,310,259,0.0010275410022586584,51,9384,literbs-8-pythag-pruned,MERGEINTRAIL R:49
None,7,50,49,251,200,0.007054083049297333,51,29656,jps,
None,7,50,49,2332,2281,0.03515758295543492,51,241048,bf,
None,7,50,49,2332,2281,0.019684124970808625,51,345480,spfa,
None,7,50,51,285,230,0.0025947910035029054,54,43016,da2,
None,7,50,50,2171,2119,0.023479250026866794,52,192496,a2,
None,7,50,50,2329,2277,0.3546690830262378,52,123832,lee,
