seed,density,gridSize,numberOfRightAngleTurns,visitSize,visitExcess,duration,pathSize,maxMemory,algorithm,message
None,19,50,49,237,175,0.0022779999999329448,61,33240,da2,
None,19,50,49,1463,1404,0.014833625056780875,59,201440,a2,
None,19,50,51,2044,1989,0.24456208292394876,55,124784,lee,
None,19,50,44,274,160,0.001419625012204051,114,11608,literbs,MERGEINTRAIL R:118
None,19,50,61,345,230,0.0019800839945673943,115,12808,literbs-pythag,MERGEPOINT R:159
None,19,50,43,274,163,0.0017002500826492906,111,11488,literbs-pruned,MERGEINTRAIL R:118
None,19,50,45,258,151,0.0028445000061765313,107,11232,literbs-pruned-spacing,MERGEDIRECT R:107
None,19,50,53,311,252,0.0008789160056039691,59,9616,literbs-8,MERGEPOINT R:57
None,19,50,52,311,253,0.0009701659437268972,58,9608,literbs-8-pruned,MERGEINTRAIL R:57
None,19,50,54,1481,1409,0.020114207989536226,72,108920,literbs-8-pruned-spacing,MERGEINTRAIL R:678
None,19,50,52,293,236,0.0009960419265553355,57,9168,literbs-8-pythag,MERGEPOINT R:55
None,19,50,52,293,236,0.0011231249663978815,57,9168,literbs-8-pythag-pruned,MERGEINTRAIL R:55
None,19,50,53,347,292,0.010229708044789732,55,59320,jps,
None,19,50,50,2044,1989,0.06135854194872081,55,197968,bf,
None,19,50,51,2044,1989,0.01722345792222768,55,287336,spfa,
None,19,50,54,238,179,0.002291125012561679,58,32528,da2,
None,19,50,52,1507,1451,0.015497124986723065,56,203144,a2,
None,19,50,52,2039,1984,0.23925687500741333,55,123832,lee,
None,19,50,38,380,268,0.002164000063203275,112,18504,literbs,MERGEINTRAIL R:205
None,19,50,62,275,166,0.001776625053025782,109,11664,literbs-pythag,MERGEPOINT R:149
None,19,50,36,380,269,0.002666042069904506,111,18496,literbs-pruned,MERGEDIRECT R:205
None,19,50,41,302,197,0.003329833038151264,105,11928,literbs-pruned-spacing,MERGEDIRECT R:134
None,19,50,53,320,261,0.0008872919715940952,59,9680,literbs-8,MERGEPOINT R:58
None,19,50,53,320,261,0.0009744589915499091,59,9680,literbs-8-pruned,MERGEDIRECT R:58
None,19,50,54,487,418,0.005319374962709844,69,17952,literbs-8-pruned-spacing,MERGEINTRAIL R:179
None,19,50,53,303,242,0.001074290950782597,61,9584,literbs-8-pythag,MERGEPOINT R:60
None,19,50,53,303,242,0.0011674169218167663,61,9584,literbs-8-pythag-pruned,MERGEDIRECT R:60
None,19,50,53,362,307,0.010829709004610777,55,60528,jps,
None,19,50,52,2039,1984,0.050216374918818474,55,197632,bf,
None,19,50,52,2039,1984,0.01762858300935477,55,284984,spfa,
None,19,50,45,253,189,0.0025510418927296996,63,38336,da2,
None,19,50,46,1665,1605,0.018742874963209033,60,202024,a2,
None,19,50,51,2036,1982,0.23918375000357628,54,123304,lee,
None,19,50,22,250,148,0.0013457919703796506,102,10968,literbs,MERGEINTRAIL R:113
None,19,50,61,231,126,0.0013515419559553266,105,10648,literbs-pythag,MERGEPOINT R:104
None,19,50,23,250,149,0.0016717079561203718,101,10960,literbs-pruned,MERGEINTRAIL R:113
None,19,50,39,377,268,0.00417095806915313,109,18328,literbs-pruned-spacing,MERGEDIRECT R:173
None,19,50,51,298,238,0.0008595420513302088,60,9216,literbs-8,MERGEPOINT R:58
None,19,50,50,298,239,0.0009434580570086837,59,9208,literbs-8-pruned,MERGEDIRECT R:58
None,19,50,52,381,313,0.004328540991991758,68,13768,literbs-8-pruned-spacing,MERGEINTRAIL R:128
None,19,50,51,276,222,0.0009343329584226012,54,8888,literbs-8-pythag,MERGEPOINT R:52
None,19,50,51,276,222,0.0010362499160692096,54,8888,literbs-8-pythag-pruned,MERGEDIRECT R:52
None,19,50,51,280,227,0.006047457922250032,53,31136,jps,
None,19,50,52,2036,1982,0.06365337502211332,54,196792,bf,
