seed,density,gridSize,numberOfRightAngleTurns,visitSize,visitExcess,duration,pathSize,maxMemory,algorithm,message
None,25,50,49,223,164,0.00229366694111377,58,32960,da2,
None,25,50,48,1519,1461,0.016418959014117718,58,211936,a2,
None,25,50,50,1894,1840,0.19484587502665818,54,123304,lee,
None,25,50,47,469,357,0.002940625068731606,112,19664,literbs,MERGEINTRAIL R:265
None,25,50,57,602,495,0.005064624943770468,107,31120,literbs-pythag,MERGEPOINT R:445
None,25,50,35,469,368,0.003485166933387518,101,19512,literbs-pruned,MERGEINTRAIL R:265
None,25,50,48,634,515,0.008233208092860878,119,32072,literbs-pruned-spacing,MERGEDIRECT R:427
None,25,50,54,264,206,0.0008713749703019857,58,8464,literbs-8,MERGEPOINT R:56
None,25,50,54,264,206,0.0009035000111907721,58,8464,literbs-8-pruned,MERGEDIRECT R:56
None,25,50,56,769,684,0.007556041935458779,85,25280,literbs-8-pruned-spacing,MERGEINTRAIL R:304
None,25,50,53,260,203,0.0009662089869379997,57,8480,literbs-8-pythag,MERGEPOINT R:55
None,25,50,53,260,203,0.0010588340228423476,57,8480,literbs-8-pythag-pruned,MERGEINTRAIL R:55
None,25,50,50,292,239,0.007432332960888743,53,30880,jps,
None,25,50,51,1894,1840,0.07721816701814532,54,181056,bf,
None,25,50,50,1894,1840,0.015826250077225268,54,256200,spfa,
None,25,50,51,234,167,0.0025800829753279686,66,38000,da2,
None,25,50,51,1380,1318,0.014098707935772836,62,212496,a2,
None,25,50,51,1897,1838,0.19644487497862428,59,123832,lee,
None,25,50,55,442,324,0.003157709026709199,118,19328,literbs,MERGEINTRAIL R:298
None,25,50,65,664,539,0.00522704201284796,125,32456,literbs-pythag,MERGEPOINT R:465
None,25,50,47,442,329,0.0037304171128198504,113,19256,literbs-pruned,MERGEDIRECT R:298
None,25,50,55,512,395,0.005564790917560458,117,20608,literbs-pruned-spacing,MERGEDIRECT R:269
None,25,50,57,304,236,0.0009605000959709287,68,9536,literbs-8,MERGEPOINT R:67
None,25,50,54,304,238,0.001064874930307269,66,9512,literbs-8-pruned,MERGEDIRECT R:67
None,25,50,62,678,595,0.0066014580661430955,83,23168,literbs-8-pruned-spacing,MERGEINTRAIL R:242
None,25,50,56,281,216,0.0010695840464904904,65,8928,literbs-8-pythag,MERGEPOINT R:64
None,25,50,55,281,218,0.0011748330434784293,63,8896,literbs-8-pythag-pruned,MERGEDIRECT R:64
None,25,50,51,504,449,0.015157500049099326,55,57608,jps,
None,25,50,54,1897,1838,0.059143624966964126,59,181840,bf,
None,25,50,52,1897,1838,0.015993832959793508,59,257488,spfa,
None,25,50,48,286,219,0.0035847919061779976,66,47848,da2,
None,25,50,47,1567,1502,0.017111500026658177,65,212272,a2,
None,25,50,50,1893,1839,0.1920136669650674,54,123304,lee,
None,25,50,46,647,531,0.004753040964715183,116,32584,literbs,MERGEINTRAIL R:422
None,25,50,52,266,165,0.0016775419935584068,101,11136,literbs-pythag,MERGEPOINT R:130
None,25,50,43,647,542,0.005368500016629696,105,32464,literbs-pruned,MERGEINTRAIL R:422
