seed,density,gridSize,numberOfRightAngleTurns,visitSize,visitExcess,duration,pathSize,maxMemory,algorithm,message
None,4,50,49,321,266,0.002627875073812902,54,48544,da2,
None,4,50,49,2368,2316,0.026675417087972164,52,196512,a2,
None,4,50,49,2405,2354,0.3931353749940172,51,123832,lee,
None,4,50,8,241,139,0.001186832902021706,102,10552,literbs,MERGEDIRECT R:100
None,4,50,67,275,176,0.0013034589355811477,99,11408,literbs-pythag,MERGEPOINT R:98
None,4,50,9,241,140,0.001448791939765215,101,10544,literbs-pruned,MERGEDIRECT R:100
None,4,50,19,289,188,0.0036727499682456255,101,11728,literbs-pruned-spacing,MERGEDIRECT R:99
None,4,50,49,330,279,0.000825915951281786,51,9840,literbs-8,MERGEPOINT R:50
None,4,50,49,330,279,0.000901667051948607,51,9840,literbs-8-pruned,MERGEDIRECT R:50
None,4,50,49,358,302,0.0045672080013900995,56,10456,literbs-8-pruned-spacing,MERGEDIRECT R:55
None,4,50,49,330,279,0.0009671659208834171,51,9840,literbs-8-pythag,MERGEPOINT R:50
None,4,50,49,330,279,0.0010568330762907863,51,9840,literbs-8-pythag-pruned,MERGEDIRECT R:50
None,4,50,49,303,252,0.011078124982304871,51,31920,jps,
None,4,50,49,2405,2354,0.021045791101641953,51,254824,bf,
None,4,50,49,2405,2354,0.021563458954915404,51,362056,spfa,
None,4,50,49,324,269,0.002653583069331944,54,48568,da2,
None,4,50,49,2405,2353,0.02708333299960941,52,196072,a2,
None,4,50,49,2405,2354,0.39383462502155453,51,123832,lee,
None,4,50,5,233,133,0.0011642499594017863,100,10408,literbs,MERGEINTRAIL R:97
None,4,50,67,284,185,0.0013334579998627305,99,11640,literbs-pythag,MERGEPOINT R:98
None,4,50,5,233,134,0.0014121249550953507,99,10400,literbs-pruned,MERGEDIRECT R:97
None,4,50,19,288,189,0.0037496250588446856,99,11672,literbs-pruned-spacing,MERGEDIRECT R:97
None,4,50,49,337,286,0.0008507500169798732,51,9904,literbs-8,MERGEPOINT R:50
None,4,50,49,337,286,0.0009585419902577996,51,9904,literbs-8-pruned,MERGEDIRECT R:50
None,4,50,49,376,318,0.005011833040043712,58,11056,literbs-8-pruned-spacing,MERGEINTRAIL R:62
None,4,50,49,337,286,0.0009948749793693423,51,9904,literbs-8-pythag,MERGEPOINT R:50
None,4,50,49,337,286,0.001080124988220632,51,9904,literbs-8-pythag-pruned,MERGEDIRECT R:50
None,4,50,49,227,176,0.007687042001634836,51,29776,jps,
None,4,50,49,2405,2354,0.020644041011109948,51,253312,bf,
None,4,50,49,2405,2354,0.020736834034323692,51,364072,spfa,
None,4,50,49,322,268,0.002579708001576364,53,48544,da2,
None,4,50,49,2334,2283,0.025365417008288205,51,194776,a2,
None,4,50,49,2404,2353,0.4025942919543013,51,123832,lee,
None,4,50,4,234,134,0.0011592500377446413,100,10416,literbs,MERGEINTRAIL R:97
None,4,50,62,280,179,0.0013564580585807562,101,11488,literbs-pythag,MERGEPOINT R:100
None,4,50,4,234,135,0.001453666016459465,99,10408,literbs-pruned,MERGEDIRECT R:97
None,4,50,26,282,183,0.0035997499944642186,99,11456,literbs-pruned-spacing,MERGEDIRECT R:97
None,4,50,49,334,283,0.0008305000374093652,51,9880,literbs-8,MERGEPOINT R:50
None,4,50,49,334,283,0.0009072080720216036,51,9880,literbs-8-pruned,MERGEDIRECT R:50
None,4,50,49,373,313,0.004928666050545871,60,10896,literbs-8-pruned-spacing,MERGEDIRECT R:59
None,4,50,49,334,283,0.00119312503375113,51,9880,literbs-8-pythag,MERGEPOINT R:50
None,4,50,49,334,283,0.0010877499589696527,51,9880,literbs-8-pythag-pruned,MERGEDIRECT R:50
None,4,50,49,269,218,0.012386249960400164,51,31680,jps,
None,4,50,49,2404,2353,0.02041637501679361,51,253424,bf,
None,4,50,49,2404,2353,0.020768625079654157,51,361440,spfa,
None,4,50,50,322,268,0.002544500050134957,53,48640,da2,
None,4,50,49,2352,2301,0.026228958973661065,51,198032,a2,
None,4,50,49,2404,2353,0.3947617090307176,51,123832,lee,
None,4,50,9,242,138,0.0012170840054750443,104,10896,literbs,MERGEDIRECT R:102
None,4,50,65,263,164,0.0013589159352704883,99,11224,literbs-pythag,MERGEPOINT R:98
None,4,50,9,242,139,0.0015302500687539577,103,10888,literbs-pruned,MERGEDIRECT R:102
